region,category,n_category,k_pos,expected_pos,fold_enrichment_pos,p_pos_enrich,p_pos_deplete,k_neg,expected_neg,fold_enrichment_neg,p_neg_enrich,p_neg_deplete,q_pos_enrich,q_pos_deplete,q_neg_enrich,q_neg_deplete
dlpfc,Immune/Inflammatory,27178,18,51.29,0.351,0.9999999351029418,6.489705813474014e-08,86,156.56,0.549,0.999999999623325,3.7667519495658443e-10,1.0,4.0244887058053614e-07,1.0,2.540495475473606e-09
dlpfc,Lipid signaling,9627,1,18.17,0.055,0.999999765478702,2.345212980529899e-07,3,55.46,0.054,1.0,1.9195506312640488e-20,1.0,1.3802399961844757e-06,1.0,1.9071664336429902e-19
dlpfc,Metabolic/Other,55287,1,104.34,0.01,1.0,1.2575133214673966e-44,8,318.48,0.025,1.0,1.1181584170712508e-125,1.0,1.844352871485515e-43,1.0,2.869939937149544e-124
dlpfc,Monoamine signaling,16,0,0.03,0.0,0.029771312887678293,0.9702286871123217,0,0.09,0.0,0.08829100678225198,0.911708993217748,0.09895213348278684,1.0,0.25335680207081,1.0
dlpfc,Neuropeptide signaling,5554,4,10.48,0.382,0.9788464238521866,0.02115357614781344,26,31.99,0.813,0.8352229626147889,0.1647770373852111,1.0,0.07348084346082562,1.0,0.42529045403333815
dlpfc,Notch/Hedgehog,35598,22,67.18,0.327,0.9999999998955859,1.0441413388424243e-10,221,205.06,1.078,0.12361253819379037,0.8763874618062099,1.0,7.364783183896184e-10,0.34197001584150394,1.0
dlpfc,Purinergic signaling,3040,0,5.74,0.0,0.9968057674657271,0.003194232534272832,0,17.51,0.0,0.9999999766959639,2.330403613040596e-08,1.0,0.013002074280476197,1.0,1.4748581770202128e-07
dlpfc,Steroid/Retinoid signaling,21942,45,41.41,1.087,0.25632440151710756,0.7436755984828924,45,126.4,0.356,1.0,4.1053600730578014e-17,0.6011262614259071,1.0,1.0,3.682866706315931e-16
dlpfc,Synapse organization,6518,0,12.3,0.0,0.9999955850254222,4.414974577809731e-06,12,37.55,0.32,0.9999989170390905,1.0829609095362104e-06,1.0,2.338622737096048e-05,1.0,6.101560246411331e-06
dlpfc,Synaptic adhesion,362796,167,684.66,0.244,1.0,8.811283707461215e-141,3667,2089.88,1.755,7.648713230741564e-269,1.0,1.0,2.3261788987697607e-139,2.524075366144716e-267,1.0
dlpfc,Teneurin/Latrophilin,79667,38,150.35,0.253,1.0,1.3381395011140025e-28,863,458.92,1.881,3.661119251471761e-67,1.0,1.0,1.5078547549138271e-27,6.633086643842956e-66,1.0
dlpfc,Wnt signaling,40236,2,75.93,0.026,1.0,1.4961826254759208e-30,5,231.78,0.022,1.0,8.33096429431354e-93,1.0,1.772400956333014e-29,1.0,1.924452751986428e-91
