ligand,receptor,lr_pair,classification,broad_category,source
CDH1,ITGA2_ITGB1,CDH1|ITGA2_ITGB1,Adhesion by Cadherin,ECM/Adhesion,cpdb_uniprot
CEACAM5,CEACAM6,CEACAM5|CEACAM6,Adhesion by CEAM,ECM/Adhesion,cpdb_uniprot
CEACAM6,CEACAM6,CEACAM6|CEACAM6,Adhesion by CEAM,ECM/Adhesion,cpdb_uniprot
CEACAM8,CEACAM6,CEACAM8|CEACAM6,Adhesion by CEAM,ECM/Adhesion,cpdb_uniprot
COL10A1,ITGA1_ITGB1,COL10A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL10A1,ITGA10_ITGB1,COL10A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL10A1,ITGA11_ITGB1,COL10A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL10A1,ITGA2_ITGB1,COL10A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL11A1,ITGA1_ITGB1,COL11A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL11A1,ITGA10_ITGB1,COL11A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL11A1,ITGA11_ITGB1,COL11A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL11A1,ITGA2_ITGB1,COL11A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL11A2,ITGA1_ITGB1,COL11A2|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL11A2,ITGA10_ITGB1,COL11A2|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL11A2,ITGA11_ITGB1,COL11A2|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
