ligand,receptor,lr_pair,classification,broad_category,source
CDH1,ITGA2_ITGB1,CDH1|ITGA2_ITGB1,Adhesion by Cadherin,ECM/Adhesion,cpdb_uniprot
FLRT1_TENM3,ADGRL3,FLRT1_TENM3|ADGRL3,Signaling by Teneurin_manual,Teneurin/Latrophilin,manual
FLRT1_TENM4,ADGRL1,FLRT1_TENM4|ADGRL1,Signaling by Teneurin_manual,Teneurin/Latrophilin,manual
FLRT2,ADGRL1,FLRT2|ADGRL1,Signaling by Fibronectin,ECM/Adhesion,cpdb_uniprot
FLRT2,ADGRL3,FLRT2|ADGRL3,Signaling by Fibronectin,ECM/Adhesion,cpdb_uniprot
FLRT3,ADGRL2,FLRT3|ADGRL2,Signaling by Fibronectin,ECM/Adhesion,cpdb_uniprot
FLRT3,ADGRL3,FLRT3|ADGRL3,Signaling by Fibronectin,ECM/Adhesion,cpdb_uniprot
FLRT3_TENM2,ADGRL1,FLRT3_TENM2|ADGRL1,Signaling by Teneurin_manual,Teneurin/Latrophilin,manual
FLRT3_TENM2,ADGRL2,FLRT3_TENM2|ADGRL2,Signaling by Teneurin_manual,Teneurin/Latrophilin,manual
FLRT3_TENM3,ADGRL3,FLRT3_TENM3|ADGRL3,Signaling by Teneurin_manual,Teneurin/Latrophilin,manual
FLRT3_TENM4,ADGRL1,FLRT3_TENM4|ADGRL1,Signaling by Teneurin_manual,Teneurin/Latrophilin,manual
GAD1_SLC32A1,GABBR1,GAD1_SLC32A1|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABBR2,GAD1_SLC32A1|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA1_GABRB2,GAD1_SLC32A1|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA1_GABRB2_GABRD,GAD1_SLC32A1|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA1_GABRB2_GABRG2,GAD1_SLC32A1|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA1_GABRB3,GAD1_SLC32A1|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA1_GABRB3_GABRG2,GAD1_SLC32A1|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA2_GABRB3_GABRG2,GAD1_SLC32A1|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA3_GABRB3_GABRE,GAD1_SLC32A1|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA3_GABRB3_GABRG2,GAD1_SLC32A1|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA3_GABRB3_GABRQ,GAD1_SLC32A1|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA4_GABRB2_GABRD,GAD1_SLC32A1|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA4_GABRB3_GABRD,GAD1_SLC32A1|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA4_GABRB3_GABRG2,GAD1_SLC32A1|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA5_GABRB3_GABRG2,GAD1_SLC32A1|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA6_GABRB3_GABRD,GAD1_SLC32A1|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC32A1,GABRA6_GABRB3_GABRG2,GAD1_SLC32A1|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABBR1,GAD1_SLC6A1|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABBR2,GAD1_SLC6A1|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA1_GABRB2,GAD1_SLC6A1|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA1_GABRB2_GABRD,GAD1_SLC6A1|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA1_GABRB2_GABRG2,GAD1_SLC6A1|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA1_GABRB3,GAD1_SLC6A1|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA1_GABRB3_GABRG2,GAD1_SLC6A1|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA2_GABRB3_GABRG2,GAD1_SLC6A1|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA3_GABRB3_GABRE,GAD1_SLC6A1|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA3_GABRB3_GABRG2,GAD1_SLC6A1|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA3_GABRB3_GABRQ,GAD1_SLC6A1|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA4_GABRB2_GABRD,GAD1_SLC6A1|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA4_GABRB3_GABRD,GAD1_SLC6A1|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA4_GABRB3_GABRG2,GAD1_SLC6A1|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA5_GABRB3_GABRG2,GAD1_SLC6A1|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA6_GABRB3_GABRD,GAD1_SLC6A1|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A1,GABRA6_GABRB3_GABRG2,GAD1_SLC6A1|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABBR1,GAD1_SLC6A11|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABBR2,GAD1_SLC6A11|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA1_GABRB2,GAD1_SLC6A11|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA1_GABRB2_GABRD,GAD1_SLC6A11|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA1_GABRB2_GABRG2,GAD1_SLC6A11|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA1_GABRB3,GAD1_SLC6A11|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA1_GABRB3_GABRG2,GAD1_SLC6A11|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA2_GABRB3_GABRG2,GAD1_SLC6A11|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA3_GABRB3_GABRE,GAD1_SLC6A11|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA3_GABRB3_GABRG2,GAD1_SLC6A11|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA3_GABRB3_GABRQ,GAD1_SLC6A11|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA4_GABRB2_GABRD,GAD1_SLC6A11|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA4_GABRB3_GABRD,GAD1_SLC6A11|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA4_GABRB3_GABRG2,GAD1_SLC6A11|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA5_GABRB3_GABRG2,GAD1_SLC6A11|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA6_GABRB3_GABRD,GAD1_SLC6A11|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A11,GABRA6_GABRB3_GABRG2,GAD1_SLC6A11|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABBR1,GAD1_SLC6A12|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABBR2,GAD1_SLC6A12|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA1_GABRB2,GAD1_SLC6A12|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA1_GABRB2_GABRD,GAD1_SLC6A12|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA1_GABRB2_GABRG2,GAD1_SLC6A12|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA1_GABRB3,GAD1_SLC6A12|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA1_GABRB3_GABRG2,GAD1_SLC6A12|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA2_GABRB3_GABRG2,GAD1_SLC6A12|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA3_GABRB3_GABRE,GAD1_SLC6A12|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA3_GABRB3_GABRG2,GAD1_SLC6A12|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA3_GABRB3_GABRQ,GAD1_SLC6A12|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA4_GABRB2_GABRD,GAD1_SLC6A12|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA4_GABRB3_GABRD,GAD1_SLC6A12|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA4_GABRB3_GABRG2,GAD1_SLC6A12|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA5_GABRB3_GABRG2,GAD1_SLC6A12|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA6_GABRB3_GABRD,GAD1_SLC6A12|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A12,GABRA6_GABRB3_GABRG2,GAD1_SLC6A12|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABBR1,GAD1_SLC6A13|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABBR2,GAD1_SLC6A13|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA1_GABRB2,GAD1_SLC6A13|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA1_GABRB2_GABRD,GAD1_SLC6A13|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA1_GABRB2_GABRG2,GAD1_SLC6A13|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA1_GABRB3,GAD1_SLC6A13|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA1_GABRB3_GABRG2,GAD1_SLC6A13|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA2_GABRB3_GABRG2,GAD1_SLC6A13|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA3_GABRB3_GABRE,GAD1_SLC6A13|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA3_GABRB3_GABRG2,GAD1_SLC6A13|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA3_GABRB3_GABRQ,GAD1_SLC6A13|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA4_GABRB2_GABRD,GAD1_SLC6A13|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA4_GABRB3_GABRD,GAD1_SLC6A13|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA4_GABRB3_GABRG2,GAD1_SLC6A13|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA5_GABRB3_GABRG2,GAD1_SLC6A13|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA6_GABRB3_GABRD,GAD1_SLC6A13|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A13,GABRA6_GABRB3_GABRG2,GAD1_SLC6A13|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABBR1,GAD1_SLC6A6|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABBR2,GAD1_SLC6A6|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA1_GABRB2,GAD1_SLC6A6|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA1_GABRB2_GABRD,GAD1_SLC6A6|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA1_GABRB2_GABRG2,GAD1_SLC6A6|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA1_GABRB3,GAD1_SLC6A6|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA1_GABRB3_GABRG2,GAD1_SLC6A6|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA2_GABRB3_GABRG2,GAD1_SLC6A6|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA3_GABRB3_GABRE,GAD1_SLC6A6|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA3_GABRB3_GABRG2,GAD1_SLC6A6|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA3_GABRB3_GABRQ,GAD1_SLC6A6|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA4_GABRB2_GABRD,GAD1_SLC6A6|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA4_GABRB3_GABRD,GAD1_SLC6A6|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA4_GABRB3_GABRG2,GAD1_SLC6A6|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA5_GABRB3_GABRG2,GAD1_SLC6A6|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA6_GABRB3_GABRD,GAD1_SLC6A6|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A6,GABRA6_GABRB3_GABRG2,GAD1_SLC6A6|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABBR1,GAD1_SLC6A8|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABBR2,GAD1_SLC6A8|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA1_GABRB2,GAD1_SLC6A8|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA1_GABRB2_GABRD,GAD1_SLC6A8|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA1_GABRB2_GABRG2,GAD1_SLC6A8|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA1_GABRB3,GAD1_SLC6A8|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA1_GABRB3_GABRG2,GAD1_SLC6A8|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA2_GABRB3_GABRG2,GAD1_SLC6A8|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA3_GABRB3_GABRE,GAD1_SLC6A8|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA3_GABRB3_GABRG2,GAD1_SLC6A8|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA3_GABRB3_GABRQ,GAD1_SLC6A8|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA4_GABRB2_GABRD,GAD1_SLC6A8|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA4_GABRB3_GABRD,GAD1_SLC6A8|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA4_GABRB3_GABRG2,GAD1_SLC6A8|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA5_GABRB3_GABRG2,GAD1_SLC6A8|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA6_GABRB3_GABRD,GAD1_SLC6A8|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD1_SLC6A8,GABRA6_GABRB3_GABRG2,GAD1_SLC6A8|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABBR1,GAD2_SLC32A1|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABBR2,GAD2_SLC32A1|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA1_GABRB2,GAD2_SLC32A1|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA1_GABRB2_GABRD,GAD2_SLC32A1|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA1_GABRB2_GABRG2,GAD2_SLC32A1|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA1_GABRB3,GAD2_SLC32A1|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA1_GABRB3_GABRG2,GAD2_SLC32A1|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA2_GABRB3_GABRG2,GAD2_SLC32A1|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA3_GABRB3_GABRE,GAD2_SLC32A1|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA3_GABRB3_GABRG2,GAD2_SLC32A1|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA3_GABRB3_GABRQ,GAD2_SLC32A1|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA4_GABRB2_GABRD,GAD2_SLC32A1|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA4_GABRB3_GABRD,GAD2_SLC32A1|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA4_GABRB3_GABRG2,GAD2_SLC32A1|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA5_GABRB3_GABRG2,GAD2_SLC32A1|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA6_GABRB3_GABRD,GAD2_SLC32A1|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC32A1,GABRA6_GABRB3_GABRG2,GAD2_SLC32A1|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABBR1,GAD2_SLC6A1|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABBR2,GAD2_SLC6A1|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA1_GABRB2,GAD2_SLC6A1|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA1_GABRB2_GABRD,GAD2_SLC6A1|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA1_GABRB2_GABRG2,GAD2_SLC6A1|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA1_GABRB3,GAD2_SLC6A1|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA1_GABRB3_GABRG2,GAD2_SLC6A1|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA2_GABRB3_GABRG2,GAD2_SLC6A1|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA3_GABRB3_GABRE,GAD2_SLC6A1|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA3_GABRB3_GABRG2,GAD2_SLC6A1|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA3_GABRB3_GABRQ,GAD2_SLC6A1|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA4_GABRB2_GABRD,GAD2_SLC6A1|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA4_GABRB3_GABRD,GAD2_SLC6A1|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA4_GABRB3_GABRG2,GAD2_SLC6A1|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA5_GABRB3_GABRG2,GAD2_SLC6A1|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA6_GABRB3_GABRD,GAD2_SLC6A1|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A1,GABRA6_GABRB3_GABRG2,GAD2_SLC6A1|GABRA6_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABBR1,GAD2_SLC6A11|GABBR1,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABBR2,GAD2_SLC6A11|GABBR2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA1_GABRB2,GAD2_SLC6A11|GABRA1_GABRB2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA1_GABRB2_GABRD,GAD2_SLC6A11|GABRA1_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA1_GABRB2_GABRG2,GAD2_SLC6A11|GABRA1_GABRB2_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA1_GABRB3,GAD2_SLC6A11|GABRA1_GABRB3,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA1_GABRB3_GABRG2,GAD2_SLC6A11|GABRA1_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA2_GABRB3_GABRG2,GAD2_SLC6A11|GABRA2_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA3_GABRB3_GABRE,GAD2_SLC6A11|GABRA3_GABRB3_GABRE,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA3_GABRB3_GABRG2,GAD2_SLC6A11|GABRA3_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA3_GABRB3_GABRQ,GAD2_SLC6A11|GABRA3_GABRB3_GABRQ,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA4_GABRB2_GABRD,GAD2_SLC6A11|GABRA4_GABRB2_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA4_GABRB3_GABRD,GAD2_SLC6A11|GABRA4_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA4_GABRB3_GABRG2,GAD2_SLC6A11|GABRA4_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA5_GABRB3_GABRG2,GAD2_SLC6A11|GABRA5_GABRB3_GABRG2,Signaling by GABA,GABA signaling,cpdb_special
GAD2_SLC6A11,GABRA6_GABRB3_GABRD,GAD2_SLC6A11|GABRA6_GABRB3_GABRD,Signaling by GABA,GABA signaling,cpdb_special
